  
  
#r(i) [cm]  rho(i) [g/cm^-3]
  
1.5805675827E+0010  8.6928918779E-0017
1.6549819629E+0010  6.9106025077E-0017
1.7388664241E+0010  5.5839160361E-0017
1.8313617272E+0010  4.5981756583E-0017
1.9310850219E+0010  3.8598094248E-0017
2.0364259875E+0010  3.2983851961E-0017
2.1458116994E+0010  2.8638150320E-0017
2.2578554606E+0010  2.5204369675E-0017
2.3714450410E+0010  2.2455365367E-0017
2.4856426773E+0010  2.0203255882E-0017
2.5998076619E+0010  1.8340536349E-0017
2.7134055558E+0010  1.6772344544E-0017
2.8260854726E+0010  1.5447247222E-0017
2.9375208254E+0010  1.4308662570E-0017
3.0475254017E+0010  1.3321931769E-0017
3.1559647830E+0010  1.2465458870E-0017
3.2627005064E+0010  1.1715205906E-0017
3.3676464742E+0010  1.1050633074E-0017
3.4707728740E+0010  1.0464995139E-0017
3.5720056859E+0010  9.9433657264E-0018
3.6713214984E+0010  9.4756764635E-0018
3.7687187117E+0010  9.0562062406E-0018
3.8641872524E+0010  8.6791099519E-0018
3.9577202251E+0010  8.3351493888E-0018
4.0493596201E+0010  8.0247645453E-0018
4.1390995513E+0010  7.7445022480E-0018
4.2269346271E+0010  7.4858171863E-0018
4.3129227575E+0010  7.2510733749E-0018
4.3970660594E+0010  7.0375138260E-0018
4.4793733246E+0010  6.8406092511E-0018
4.5598838412E+0010  6.6618058064E-0018
4.6386004150E+0010  6.4993961928E-0018
4.7155291605E+0010  6.3505958517E-0018
4.7906941470E+0010  6.2162107180E-0018
4.8640968697E+0010  6.0954743228E-0018
4.9357369872E+0010  5.9860066488E-0018
5.0056324704E+0010  5.8876511205E-0018
5.0737944839E+0010  5.8005430203E-0018
5.1402255953E+0010  5.7232692816E-0018
5.2049386606E+0010  5.6546380134E-0018
5.2679545597E+0010  5.5939182622E-0018
5.3292972739E+0010  5.5403225687E-0018
5.3889948460E+0010  5.4927857382E-0018
5.4470824213E+0010  5.4507201543E-0018
5.5035971096E+0010  5.4136533633E-0018
5.5585769034E+0010  5.3808257804E-0018
5.6120637033E+0010  5.3515676277E-0018
5.6641022242E+0010  5.3254549427E-0018
5.7147375162E+0010  5.3021594513E-0018
5.7640141446E+0010  5.2812428040E-0018
5.8119772946E+0010  5.2621439536E-0018
5.8586737975E+0010  5.2446007715E-0018
5.9041494333E+0010  5.2286542452E-0018
5.9484464593E+0010  5.2142571246E-0018
5.9916046874E+0010  5.2013444720E-0018
6.0336619001E+0010  5.1897376810E-0018
6.0746548866E+0010  5.1792274417E-0018
6.1146197961E+0010  5.1697185159E-0018
6.1535913005E+0010  5.1612203171E-0018
6.1916019564E+0010  5.1537187228E-0018
6.2286825561E+0010  5.1471919622E-0018
6.2648623272E+0010  5.1416178857E-0018
6.3001690660E+0010  5.1368837791E-0018
6.3346298444E+0010  5.1328637934E-0018
6.3682711585E+0010  5.1294738060E-0018
6.4011186590E+0010  5.1266206703E-0018
6.4331972893E+0010  5.1242262176E-0018
6.4645312025E+0010  5.1222257335E-0018
6.4951437475E+0010  5.1205684664E-0018
6.5250574237E+0010  5.1191530787E-0018
6.5542942141E+0010  5.1178513848E-0018
6.5828757740E+0010  5.1165268261E-0018
6.6108234547E+0010  5.1150641220E-0018
6.6381582016E+0010  5.1133590368E-0018
6.6649005044E+0010  5.1113459446E-0018
6.6910702098E+0010  5.1089946794E-0018
6.7166863847E+0010  5.1062826018E-0018
6.7417673187E+0010  5.1031765188E-0018
6.7663306293E+0010  5.0996235131E-0018
6.7903933731E+0010  5.0955766566E-0018
6.8139720673E+0010  5.0909915707E-0018
6.8370827044E+0010  5.0858204254E-0018
6.8597407692E+0010  5.0800338965E-0018
6.8819612199E+0010  5.0736102038E-0018
6.9037584589E+0010  5.0665407651E-0018
6.9251463155E+0010  5.0588166665E-0018
6.9461380826E+0010  5.0504326642E-0018
6.9667465315E+0010  5.0413890331E-0018
6.9869839137E+0010  5.0316930383E-0018
7.0068619657E+0010  5.0213584358E-0018
7.0263919115E+0010  5.0104004031E-0018
7.0455844893E+0010  4.9988363745E-0018
7.0644499688E+0010  4.9866862973E-0018
7.0829981584E+0010  4.9739806544E-0018
7.1012384066E+0010  4.9607630775E-0018
7.1191795626E+0010  4.9470717916E-0018
7.1368300368E+0010  4.9329458872E-0018
7.1541978162E+0010  4.9184199023E-0018
7.1712904849E+0010  4.9035345656E-0018
7.1881152576E+0010  4.8883234283E-0018
7.2046789864E+0010  4.8728229305E-0018
7.2209881906E+0010  4.8570669014E-0018
7.2370490694E+0010  4.8410897194E-0018
7.2528675289E+0010  4.8249232579E-0018
7.2684491845E+0010  4.8085961157E-0018
7.2837993942E+0010  4.7921370121E-0018
7.2989232776E+0010  4.7755782532E-0018
7.3138257019E+0010  4.7589533309E-0018
7.3285112931E+0010  4.7422966188E-0018
7.3429844424E+0010  4.7256437763E-0018
7.3572493195E+0010  4.7090286070E-0018
7.3713098791E+0010  4.6924817053E-0018
7.3851698784E+0010  4.6760337601E-0018
7.3988328925E+0010  4.6597137909E-0018
7.4123023215E+0010  4.6435491208E-0018
7.4255814063E+0010  4.6275638202E-0018
7.4386732358E+0010  4.6117802922E-0018
7.4515807642E+0010  4.5962186032E-0018
7.4643068231E+0010  4.5808954459E-0018
7.4768541345E+0010  4.5658219734E-0018
7.4892253297E+0010  4.5510063194E-0018
7.5014229565E+0010  4.5364523670E-0018
7.5134495006E+0010  4.5221597659E-0018
7.5253073988E+0010  4.5081224141E-0018
7.5369990430E+0010  4.4943363200E-0018
7.5485268030E+0010  4.4807964938E-0018
7.5598929905E+0010  4.4674947002E-0018
7.5710999107E+0010  4.4544174829E-0018
7.5821498402E+0010  4.4415507469E-0018
7.5930450516E+0010  4.4288796276E-0018
7.6037878108E+0010  4.4163826785E-0018
7.6143803801E+0010  4.4040384337E-0018
7.6248250326E+0010  4.3918264168E-0018
7.6351240370E+0010  4.3797282809E-0018
7.6452796663E+0010  4.3677152336E-0018
7.6552941981E+0010  4.3557555239E-0018
7.6651699458E+0010  4.3438158057E-0018
7.6749092445E+0010  4.3318609800E-0018
7.6845144526E+0010  4.3198546287E-0018
7.6939879635E+0010  4.3077614612E-0018
7.7033321850E+0010  4.2955532947E-0018
7.7125495339E+0010  4.2832030422E-0018
7.7216424359E+0010  4.2706855575E-0018
7.7306133042E+0010  4.2579760755E-0018
7.7394645501E+0010  4.2450600257E-0018
7.7481985687E+0010  4.2319284986E-0018
7.7568177037E+0010  4.2185763936E-0018
7.7653242683E+0010  4.2050081146E-0018
7.7737205110E+0010  4.1912353596E-0018
7.7820085991E+0010  4.1772784324E-0018
7.7901906276E+0010  4.1631584737E-0018
7.7982685887E+0010  4.1489086453E-0018
7.8062443791E+0010  4.1345633334E-0018
7.8141197849E+0010  4.1201706057E-0018
7.8218964714E+0010  4.1057826933E-0018
7.8295759595E+0010  4.0914590164E-0018
7.8371596481E+0010  4.0772756608E-0018
7.8446487605E+0010  4.0632967258E-0018
7.8520443799E+0010  4.0495812439E-0018
7.8593474789E+0010  4.0361813539E-0018
7.8665589083E+0010  4.0231439891E-0018
7.8736794338E+0010  4.0104999447E-0018
7.8807097601E+0010  3.9982796788E-0018
7.8876505334E+0010  3.9865152655E-0018
7.8945023410E+0010  3.9752287611E-0018
7.9012657309E+0010  3.9644354582E-0018
7.9079412206E+0010  3.9541520602E-0018
7.9145293163E+0010  3.9444003753E-0018
7.9210304776E+0010  3.9351847757E-0018
7.9274451638E+0010  3.9265258002E-0018
7.9337738123E+0010  3.9184688936E-0018
7.9400167884E+0010  3.9110070989E-0018
7.9461744838E+0010  3.9041534944E-0018
7.9522472768E+0010  3.8979354154E-0018
7.9582355112E+0010  3.8923809063E-0018
7.9641395104E+0010  3.8875600951E-0018
7.9699594957E+0010  3.8835271183E-0018
7.9756956367E+0010  3.8803353320E-0018
7.9813480485E+0010  3.8780973451E-0018
7.9869167074E+0010  3.8769328635E-0018
7.9924014551E+0010  3.8770166268E-0018
7.9978019446E+0010  3.8786255171E-0018
8.0031174886E+0010  3.8819799869E-0018
8.0083471945E+0010  3.8873141589E-0018
8.0134899408E+0010  3.8947629272E-0018
8.0185445518E+0010  3.9044231112E-0018
8.0235098621E+0010  3.9162443234E-0018
8.0283848970E+0010  3.9300044764E-0018
8.0331690936E+0010  3.9452595984E-0018
8.0378625283E+0010  3.9612790638E-0018
8.0424662112E+0010  3.9767974162E-0018
8.0469826063E+0010  3.9905016434E-0018
8.0514155473E+0010  4.0002063135E-0018
8.0557710681E+0010  4.0033710303E-0018
8.0600576113E+0010  3.9984114753E-0018
8.0642849192E+0010  3.9846594601E-0018
8.0684630725E+0010  3.9669924510E-0018
8.0725968204E+0010  3.9618339830E-0018
8.0766738512E+0010  3.9944579599E-0018
8.0806569942E+0010  4.1192952303E-0018
8.0844616855E+0010  4.3953382006E-0018
8.0879743274E+0010  4.5353902475E-0018
8.0913279906E+0010  3.4930424457E-0018
8.0956173966E+0010  3.7451589068E-0018
